Column1,Method,NumSimulationScenario,Distribution,TravelCov,ServiceCov,NewPatients,ActiveAides,TotalSolvingTime,AcceptedPatients,AllowedDelay,Overtime,AssignedServiceLevel/NumberStd,Scenario,ApproximationTCov,ApproximationSCov,AverageTotalLateness,AverageTotalOvertime,AverageRunLateness,AverageRunOvertime,MaximumTotalLateness,RealServiceLevel,MeanServiceLevel,MinServiceLevel,TotalAccpetedNewPatient,FractionOnTimeServedPatient,OnTimeNewPatient,OnTimeOldPatient,OnTimeTotalPatient,TotalScheduledPatient
80,Scenario,10000,normal,0.25,0.1,10,8,391.1991899,58,1,3,0.98,300,0,0,0.1746,0.0215,0.0368,0.0055,20,"[(34, 0.9997), (35, 0.9996), (36, 0.9993), (43, 1.0), (44, 1.0), (50, 1.0), (52, 0.9905), (53, 1.0), (54, 0.9964), (56, 0.9926), (57, 1.0), (58, 0.9812), (59, 1.0)]",0.996869231,0.9812,8,1,8,5,13,13
81,Scenario,10000,normal,0.25,0.1,14,8,2215.251625,58,1,3,0.98,300,0,0,0.3595,0.1623,0.0769,0.0295,30,"[(30, 1.0), (31, 0.9774), (34, 0.9964), (35, 1.0), (36, 0.9993), (43, 1.0), (44, 0.9999), (46, 0.9951), (47, 0.9928), (48, 1.0), (49, 0.9973), (50, 1.0), (52, 1.0), (53, 0.9905), (54, 0.9935), (56, 0.9914), (57, 1.0), (58, 0.9799), (59, 1.0)]",0.995447368,0.9774,12,1,12,7,19,19
82,Scenario,10000,normal,0.25,0.1,10,8,288.621197,57,1,3,0.98,100,0,0,0.2467,0.0384,0.066,0.0075,15,"[(30, 0.9983), (31, 0.9774), (34, 0.9997), (43, 1.0), (44, 0.9763), (49, 0.9798), (50, 1.0), (52, 1.0), (54, 0.9999), (56, 1.0), (57, 1.0), (58, 1.0), (59, 1.0)]",0.994723077,0.9763,7,1,7,6,13,13
83,Scenario,10000,normal,0.25,0.1,10,8,41.17328095,58,1,3,0.98,50,0,0,1.0171,0.1967,0.1587,0.0321,38,"[(32, 0.9841), (33, 0.9836), (34, 0.9476), (35, 0.9788), (36, 0.9484), (43, 1.0), (44, 1.0), (45, 0.9988), (50, 1.0), (52, 0.9686), (53, 1.0), (54, 1.0), (56, 0.9996), (57, 1.0), (58, 0.9992), (59, 1.0)]",0.98804375,0.9476,8,0.8125,7,6,13,16
84,EVT,10000,normal,0.25,0.1,10,8,26.03151894,58,1,3,2.05,0,0.25,0.1,0.0475,0,0.0822,0,15,"[(34, 0.9848), (35, 1.0), (36, 0.9927), (43, 0.9991), (44, 0.9919), (50, 1.0), (52, 0.9805), (53, 0.9875), (54, 0.9922), (56, 0.9907), (57, 0.9999), (58, 0.9886), (59, 1.0)]",0.992915385,0.9805,8,1,8,5,13,13
85,Deterministic ,10000,normal,0.25,0.1,18,8,151.9745269,60,1,3,0.98,0,0,0,20.5595,1.2284,0.9981,0.3425,120,"[(30, 0.4839), (31, 0.6712), (32, 0.6129), (33, 0.746), (34, 1.0), (35, 1.0), (36, 0.5589999999999999), (37, 0.9977), (38, 1.0), (39, 0.7757000000000001), (42, 0.5608), (43, 0.9451), (44, 0.7349), (45, 0.6108), (46, 0.7469), (47, 0.7753), (48, 0.5665), (49, 0.6489), (50, 0.6114999999999999), (51, 0.7927), (52, 0.5848), (53, 0.9771), (54, 0.6359), (55, 0.6834), (56, 0.5518000000000001), (57, 0.7935), (58, 0.6547000000000001), (59, 0.9781)]",0.739253571,0.4839,18,0.214285714,2,4,6,28
86,Scenario,10000,normal,0.25,0.1,12,8,66.45821095,58,1,3,0.98,50,0,0,0.806,0.016,0.156,0.0029,20,"[(30, 0.9924), (31, 1.0), (34, 0.9476), (35, 1.0), (36, 1.0), (43, 1.0), (44, 1.0), (47, 0.9927), (48, 0.9997), (49, 1.0), (50, 0.9884), (52, 0.9997), (53, 0.9297), (54, 0.9803), (56, 1.0), (57, 1.0), (58, 0.9983), (59, 1.0)]",0.990488889,0.9297,10,0.888888889,9,7,16,18
87,Scenario,10000,normal,0.25,0.1,14,8,374.5279429,58,1,3,0.98,50,0,0,1.9028,0.2086,0.2651,0.0345,55,"[(30, 0.9941), (31, 0.9853), (32, 0.9841), (33, 0.9836), (34, 0.9476), (35, 0.9788), (36, 0.9484), (43, 1.0), (44, 0.9763), (45, 0.9988), (46, 1.0), (47, 1.0), (48, 0.9998), (49, 0.9996), (50, 0.9035), (52, 0.9686), (53, 1.0), (54, 1.0), (56, 1.0), (57, 1.0), (58, 1.0), (59, 1.0)]",0.984931818,0.9035,12,0.818181818,10,8,18,22
88,Scenario,10000,normal,0.25,0.1,16,8,506.3605659,58,1,3,0.98,50,0,0,1.5828,0.2812,0.2546,0.0472,55,"[(30, 0.9997), (31, 0.9774), (32, 0.9841), (33, 0.9836), (34, 0.9476), (35, 1.0), (36, 1.0), (43, 1.0), (45, 0.9988), (46, 0.9864), (47, 0.9927), (48, 0.9997), (49, 0.9889), (50, 0.9836), (51, 0.9533), (52, 0.9686), (53, 0.9297), (54, 1.0), (56, 0.9873), (57, 1.0), (58, 0.998), (59, 1.0)]",0.985427273,0.9297,14,0.818181818,11,7,18,22
89,EVT,10000,normal,0.25,0.1,10,8,25.97689605,58,1,3,2.05,0,0.25,0.1,0.0475,0,0.0822,0,15,"[(34, 0.9848), (35, 1.0), (36, 0.9927), (43, 0.9991), (44, 0.9919), (50, 1.0), (52, 0.9805), (53, 0.9875), (54, 0.9922), (56, 0.9907), (57, 0.9999), (58, 0.9886), (59, 1.0)]",0.992915385,0.9805,8,1,8,5,13,13
