Column1,Method,NumSimulationScenario,Distribution,TravelCov,ServiceCov,NewPatients,ActiveAides,TotalSolvingTime,AcceptedPatients,AllowedDelay,Overtime,AssignedServiceLevel/NumberStd,Scenario,ApproximationTCov,ApproximationSCov,AverageTotalLateness,AverageTotalOvertime,AverageRunLateness,AverageRunOvertime,MaximumTotalLateness,RealServiceLevel,MeanServiceLevel,MinServiceLevel,TotalAccpetedNewPatient,FractionOnTimeServedPatient,OnTimeNewPatient,OnTimeOldPatient,OnTimeTotalPatient,TotalScheduledPatient
4302,Deterministic ,10000,normal,0.25,0.25,14,8,79.44244003,59,1,3,0.98,0,0,0,26.461,4.4885,0.9959,0.6575,152,"[(30, 0.49829999999999997), (31, 0.6228), (34, 1.0), (35, 1.0), (36, 0.5011), (43, 0.6327), (44, 0.7883), (46, 0.43410000000000004), (47, 0.9762), (49, 0.6437999999999999), (50, 0.5227999999999999), (51, 0.753), (52, 0.9196), (53, 0.946), (54, 0.6704), (55, 0.6313), (56, 0.4585), (57, 0.6401), (58, 0.9088), (59, 0.6308)]",0.70893,0.4341,13,0.15,1,2,3,20
4303,Deterministic ,10000,normal,0.25,0.5,8,8,4.496929884,60,1,3,0.98,0,0,0,84.1191,28.6187,0.9992,0.8655,339,"[(30, 0.4205), (31, 0.6712), (34, 1.0), (35, 1.0), (36, 0.4295), (43, 0.5653), (44, 0.7883), (47, 0.5791999999999999), (48, 1.0), (49, 0.3699), (50, 0.6477999999999999), (52, 0.5899), (53, 0.5028), (54, 0.45420000000000005), (55, 0.5553), (56, 0.4002), (57, 0.5599000000000001), (58, 0.42789999999999995), (59, 0.9773)]",0.628378947,0.3699,8,0.210526316,1,3,4,19
4304,Deterministic ,10000,normal,0.25,0.5,12,8,8.769989014,59,1,3,0.98,0,0,0,83.4452,20.159,0.9988,0.7178,457,"[(30, 0.3722), (31, 0.6712), (34, 1.0), (35, 1.0), (36, 0.43379999999999996), (43, 0.5653), (44, 0.7883), (47, 0.8421), (48, 0.5647), (49, 0.41979999999999995), (50, 0.4274), (52, 0.7638), (53, 0.5028), (54, 0.8999), (55, 0.5352), (56, 0.5177), (57, 0.9987), (58, 0.4154), (59, 0.9773)]",0.668189474,0.3722,11,0.210526316,2,2,4,19
4305,Deterministic ,10000,normal,0.25,0.25,18,8,145.4150722,60,1,3,0.98,0,0,0,62.7972,11.5129,0.9998,0.8159,269,"[(30, 0.4556), (31, 0.6712), (32, 0.512), (33, 0.631), (34, 1.0), (35, 1.0), (36, 0.5011), (37, 0.8976), (38, 1.0), (39, 0.5965), (42, 0.42379999999999995), (43, 0.9451), (44, 0.7349), (45, 0.5512), (46, 0.6188), (47, 0.627), (48, 0.5364), (49, 0.5052), (50, 0.5626), (51, 0.7927), (52, 0.4698), (53, 0.9771), (54, 0.493), (55, 0.6313), (56, 0.4568), (57, 0.6409), (58, 0.4921), (59, 0.9781)]",0.667921429,0.4238,18,0.178571429,2,3,5,28
4306,EVT,10000,normal,0.25,0.5,14,8,313.9737539,51,1,3,2.05,0,0.25,0.5,0.2992,0.0711,0.0817,0.0109,65,"[(30, 0.9882), (31, 0.9874), (34, 1.0), (43, 0.9991), (44, 0.9919), (46, 1.0), (52, 0.9838), (55, 0.9924), (56, 0.9835), (57, 0.9987)]",0.9925,0.9835,5,1,5,5,10,10
4307,Deterministic ,10000,normal,0.25,0.5,8,8,4.34265089,60,1,3,0.98,0,0,0,84.1191,28.6187,0.9992,0.8655,339,"[(30, 0.4205), (31, 0.6712), (34, 1.0), (35, 1.0), (36, 0.4295), (43, 0.5653), (44, 0.7883), (47, 0.5791999999999999), (48, 1.0), (49, 0.3699), (50, 0.6477999999999999), (52, 0.5899), (53, 0.5028), (54, 0.45420000000000005), (55, 0.5553), (56, 0.4002), (57, 0.5599000000000001), (58, 0.42789999999999995), (59, 0.9773)]",0.628378947,0.3699,8,0.210526316,1,3,4,19
4308,EVT,10000,normal,0.25,0.5,14,8,329.9548731,51,1,3,2.05,0,0.25,0.5,0.2992,0.0711,0.0817,0.0109,65,"[(30, 0.9882), (31, 0.9874), (34, 1.0), (43, 0.9991), (44, 0.9919), (46, 1.0), (52, 0.9838), (55, 0.9924), (56, 0.9835), (57, 0.9987)]",0.9925,0.9835,5,1,5,5,10,10
4309,Scenario,10000,normal,0.25,0.5,10,8,170.1887672,54,1,3,0.98,100,0,0,0.3028,0.5245,0.0475,0.0498,45,"[(34, 1.0), (43, 1.0), (44, 1.0), (50, 0.9706), (56, 0.9863), (57, 1.0), (58, 0.9985)]",0.993628571,0.9706,4,0.857142857,3,3,6,7
4310,Scenario,10000,normal,0.25,0.25,8,8,95.45337296,56,1,3,0.98,100,0,0,0.2172,0.0125,0.0346,0.0021,30,"[(34, 1.0), (43, 1.0), (44, 0.9763), (50, 0.9952), (52, 0.9954), (54, 0.9966), (56, 1.0), (57, 1.0)]",0.9954375,0.9763,4,1,4,4,8,8
4311,Scenario,10000,normal,0.25,0.25,10,8,21.1306901,57,1,3,0.98,10,0,0,2.773,0.5703,0.3626,0.0833,56,"[(34, 1.0), (35, 1.0), (36, 0.9641), (43, 0.9949), (44, 0.9763), (50, 0.9833), (52, 0.9845), (53, 0.8371999999999999), (54, 0.9966), (56, 0.9719), (57, 0.8525), (58, 0.9871)]",0.962366667,0.8372,7,0.666666667,4,4,8,12
4312,Scenario,10000,normal,0.25,0.25,14,8,156.316668,57,1,3,0.98,10,0,0,4.9794,0.9834,0.5382,0.1234,90,"[(30, 0.9966), (31, 0.9774), (34, 1.0), (35, 1.0), (36, 0.9916), (43, 0.8374), (44, 0.9763), (46, 0.9995), (47, 0.9982), (48, 0.9336), (49, 0.7835), (50, 0.9474), (52, 0.9264), (53, 0.9297), (54, 0.9966), (56, 0.9576), (57, 1.0), (58, 1.0)]",0.958433333,0.7835,11,0.611111111,5,6,11,18
4313,EVT,10000,normal,0.25,0.25,14,8,304.8613031,53,1,3,2.05,0,0.25,0.25,0.1885,0.0025,0.0843,0.0018,35,"[(30, 0.9867), (31, 0.9874), (34, 1.0), (43, 0.9991), (44, 0.9919), (46, 0.9997), (50, 0.9829), (51, 0.9963), (52, 0.9777), (56, 1.0), (57, 0.9987), (58, 0.9891)]",0.992458333,0.9777,7,1,7,5,12,12
4314,EVT,10000,normal,0.25,0.25,14,8,297.4953361,53,1,3,2.05,0,0.25,0.25,0.1885,0.0025,0.0843,0.0018,35,"[(30, 0.9867), (31, 0.9874), (34, 1.0), (43, 0.9991), (44, 0.9919), (46, 0.9997), (50, 0.9829), (51, 0.9963), (52, 0.9777), (56, 1.0), (57, 0.9987), (58, 0.9891)]",0.992458333,0.9777,7,1,7,5,12,12
